komentar,komentar_bersih,label_final,alasan_label
"ingat kata BANG JAY , Tim ini tidak berhenti disini , tim ini di proyeksikan untuk masa yang akan datang , jangan sedih berlarut , kita Harus kuat dan kompak untuk ajang selanjut nya .",bang jay tim henti tim proyeksi sedih larut kuat kompak ajang lanjut,positif,Memberi semangat agar tidak larut sedih dan tetap kompak.
Kok.bisa,kokbisa,netral,Pertanyaan singkat tanpa konteks sentimen jelas.
"Tetap berbesar hati timnas indonesia, ❤",besar hati timnas indonesia,positif,Tetap berbesar hati kepada Timnas Indonesia.
Wkwk sty 6 laga 6 point,sty laga point,netral,Menyebut data perolehan poin STY tanpa emosi jelas.
"Sty itu membangun dari awal,,, Patrick tinggal menerus kan",sty bangun patrick tinggal terus,positif,"Mendukung STY sebagai pembangun tim, Patrick hanya meneruskan."
"Setuju segala sesuatu butuh proses,,, jangan selalu ganti pelatih..",tuju butuh proses ganti pelatih,positif,Menekankan proses dan menolak kebiasaan mengganti pelatih.
Kalau mau dibilang Salah siapa Salah pelatih loh iya dong pelatih yang ngasih taktik pemain yang ikut aja salah pasti ada harus ditanggung bareng-bareng lah nggak bisa kita salahkan dari satu pihak cuma kesalahan terbesarnya ada di plat di kenapa ya paling besar Waktu lawan Arab lah lihat itu ngawur sekali posisi pemain skema tidak berjalan kalah Lini Tengah Lini belakang gampang ditembus fase-fase penting seperti ini lu jangan eksperimen kecuali uji coba baru loh bule eksperimen Terserah mau Emil audero dipasang di sebagai striker misalkan itu terserah namanya itu uji coba uji dan mencoba untuk mematangkan taktik dan skema kalau sudah ada di fase seperti ini Harusnya kan tidak ya kan Oke deh nggak apa-apa kalau kita kalah lawan Arab tapi mainnya bagus itu tidak masalah lihat aja kemarin Mainnya gimana terus ada orang yang bilang Patrick kan belum tahu Halo tim ini sudah dibangun 5 tahun oleh pelatih sebelumnya masa iya kita harus butuh proses lagi kalau memang iya kita butuh proses lagi Kenapa tidak mempertahankan pelatih yang lama Iya dong logikanya kan begitu Nah ini ganti pelatih tujuannya buat apa sekarang kita nggak butuh proses butuhnya apa ya hasil dong kalau taktiknya eksperimen dan berhasil tidak masalah ini udah tahu pertandingan penting Bukan saatnya mencoba-coba Mala eksperimen dan gagal pula Nah sekarang gimana federasi tinggal kita tunggu aja respon mereka ini kritikan mudah-mudahan ada yang mendengar ya,bilang salah salah pelatih loh iya pelatih ngasih taktik pemain salah tanggung barengbareng salah salah besar plat ya lawan arab lihat ngawur posisi pemain skema jalan kalah lini lini gampang tembus fasefase eksperimen kecuali uji coba loh bule eksperimen serah emil audero pasang striker serah nama uji coba uji coba matang taktik skema fase ya oke apaapa kalah lawan arab main bagus lihat kemarin main gimana orang bilang patrick halo tim bangun pelatih iya butuh proses iya butuh proses tahan pelatih iya logika ganti pelatih tuju butuh proses butuh ya hasil taktik eksperimen hasil udah tanding mencobacoba mala eksperimen gagal gimana federasi tinggal tunggu respon kritik mudahmudahan dengar ya,negatif,Menilai kesalahan terbesar ada pada pelatih/taktik.
Bukan blunder lagi keputusan terburuk ketum PSSI. Mana pundit pundit yg dulu nyingkirin STY ini karma dari STY. Andai ajah STY ga out pasti indonesia lolos pildun .,blunder putus buruk tum pssi pundit pundit nyingkirin sty karma sty andai ajah sty out indonesia lolos pildun,negatif,Menyebut keputusan PSSI sebagai blunder/terburuk.
Semakin membuktikan visi nya STY yang tau bahwa kemampuan Timnas Indonesia supaya memberikan hasil ya main bertahan,bukti visi sty mampu timnas indonesia hasil ya main tahan,positif,Menilai visi STY terbukti sesuai dengan kemampuan Timnas.
Angkat dia jadi pelatih guru .😅😅,angkat pelatih guru,netral,Saran/joke tanpa sentimen jelas terhadap Timnas.
HIDUP STY HIDUUUUUUUP HIDUP STY HIDUUUUUUUP,hidup sty hiduuuuuuup hidup sty hiduuuuuuup,positif,Dukungan kuat kepada STY.
Saya pakai zindane 😊,pakai zindane,netral,Usulan nama pelatih tanpa sentimen kuat.
"@annatarsauron2059 apa urusannya ulsan, yg penting dia yg udah membawa perubahan ke timnas",urus ulsan udah bawa ubah timnas,positif,Menyatakan STY membawa perubahan bagi Timnas.
BOHIR DAN MAFIA BOLA WAJIB TANGGUNG JAWAB!!,bohir mafia bola wajib tanggung,negatif,Menuntut bohir/mafia bola bertanggung jawab.
Si Patrick bersedih pake mode air mata buaya yassalammm yassalammm yassalammm 😂😂😂,si patrick sedih pake mode air mata buaya yassalammm yassalammm yassalammm,negatif,Menyindir tangisan Patrick sebagai air mata buaya.
"Tahun 2027 kualifikasi Piala Dunia untuk 2030 sudah dibuka kembali. Kita cuma vakum 1,5 tahun doang kok. Selama kualifikasi berlangsung, nanti tidak terasa sudah di ujung 2029. Kita masih punya banyak waktu untuk perbaikan supaya lolos. SEMANGAT SEMUANYA 🎉",kualifikasi piala dunia buka vakum doang kualifikasi ujung baik lolos semangat,positif,Memberi harapan dan semangat untuk kualifikasi berikutnya.
"Iya lagi 😢, setidak nya kita tau sty bangun sepak bola kita dari mines",iya tidak sty bangun sepak bola mes,positif,Mengapresiasi STY karena membangun sepak bola dari titik rendah.
Hidup mati bersama junjungan. Warga konoha sejati lo Bro 😂,hidup mati junjung warga konoha sejati,netral,Komentar bercanda tentang dukungan/junjungan tanpa opini jelas.
kita bangga punya team yg sholid..walaupun kegagalan yg dicapai..semoga team garuda kedepan tetap semangat..untuk menuju pildun 2030...,bangga team sholidwalaupun gagal dicapaisemoga team garuda depan semangatuntuk pildun,positif,Bangga dan memberi semangat menuju Piala Dunia berikutnya.
​ @EdiAriman siap si paling cenayang,si cenayang,negatif,Ejeken kepada orang yang dianggap sok meramal.
setuju pisan,tuju pis,positif,Menyatakan setuju.
"Kalo gak ada naturalisasi belanda, gak mungkin kita sejauh ini",kalo naturalisasi belanda,positif,Mengakui kontribusi naturalisasi hingga Timnas bisa melaju jauh.
Bazer,bazer,netral,Kata pendek tidak memiliki konteks cukup.
Mulai sekarang fokuskan ke pembenahan liga Indonesia stop dulu naturalisasi 1 tahun ini,fokus benah liga indonesia stop naturalisasi,netral,Saran pembenahan liga dan stop naturalisasi.
"Bagi saya semuanya berjasa atas timnas, tidak ada yang harus disalahkan , sty, PSSI, atau petrik kliver, semangat timnas",jasa timnas salah sty pssi trik kliver semangat timnas,positif,"Menganggap semua berjasa, tidak menyalahkan, dan memberi semangat Timnas."
Đó là graham arno,graham arno,netral,Komentar tidak jelas/tidak relevan dengan sentimen Timnas.
"Selama FEDERASI masih dilingkungan politik atau mafia, jangan berharap banyak deh.bagaimanapun juga kita wajib dukung timnas tapi jangan berharap prestasi,anggap aja hiburan semata.",federasi lingkung politik mafia harap dehbagaimanapun wajib dukung timnas harap prestasianggap hibur,negatif,Mengkritik federasi yang dianggap dekat politik/mafia dan menurunkan harapan prestasi.
Dekat hadapi pemain Madrid,hadap pemain madrid,netral,Pernyataan singkat tanpa sentimen jelas.
​ @AdiDoank-h8o penyefong tohir 😂,penyefong tohir,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
Blunderr ET dan PSSI .. Patrik sama saja dengan Simon !!!,blunderr et pssi patrik simon,negatif,"Mengkritik ET, PSSI, dan Patrick."
"Wasit harus diusut .. segitu banyak kejadian tak 1 pun ada VAR,,, sekilas ada pembicaraan dengan Tim Var tapi ga pernah ada tindak lanjut liat monitor Var. Sebelum gol Irak, harusnya ada 1 pemain Irak red card... Klo itu terjadi Irak blm tentu bisa cetak gol. Jadi wasit sangat menentukan pertandingan tadi. Klo official dan pelatih Indonesia ada yg beralasan kalah Krn wasit, saya bisa maklum,, kerugian byk di kita . Kita harus realistis menilai, seperti itu adanya😅",wasit usut segitu jadi var kilas bicara tim var tindak liat monitor var gol irak pemain irak red card irak blm cetak gol wasit tentu tanding official pelatih indonesia alas kalah wasit maklum rugi byk realistis nilai,negatif,Kritik terhadap wasit dan VAR.
​ @muhammadmulyono4509 fans karbitan nongol wkwkwk Pemain banyak usia msh muda.2030 masuk usia matang,fans karbitan nongol pemain usia msh muda masuk usia matang,positif,Optimis pemain muda akan matang pada 2030.
Nepalkan PSSI,nepalkan pssi,negatif,Kritik singkat terhadap PSSI.
"Bersama kalian kami berani bermimpi, terimakasih timnasku.",berani mimpi terimakasih timnasku,positif,Ucapan terima kasih dan apresiasi kepada Timnas.
Bahkan sty bisa lebih,sty,positif,Dukungan/keyakinan bahwa STY bisa memberikan hasil lebih baik.
Baru 3 tahun saya nonton ngikutin timnas saat aff 2010 sudah berpuluh2 ke kecewaan sudah banyak ganti ketum PSSI tapi cuman di Erick Tohir kita bisa melangkah sejauh ini,nonton ngikutin timnas aff puluh kecewa ganti tum pssi cuman erick tohir lang,positif,Apresiasi bahwa era Erick Thohir membawa Timnas melangkah jauh.
"Dunia politik gk ada yg tulus, tujuan pemecatan sty mau ambil simpatisan masarakat terhadap beliow , tujuan nya cuman cari suara buat nyalon di masa depan , eh ternyata gaga rencana nya😅😅😅",dunia politik tulus tuju pecat sty ambil simpatisan masarakat beliow tuju cuman cari suara nyalon gaga rencana,negatif,Kritik terhadap motif politik pemecatan STY.
Kita mulai berjuang lebih keras lagi,juang keras,positif,Ajakan untuk terus berjuang lebih keras.
Admin edann😂,edann,positif,Bernada pujian bercanda kepada admin/konten.
"Bravo GARUDA ku,,kami bangga dgn kalian yg sdh berjuang demi bangsa dan memberikan yg terbaik",bravo garuda kam bangga sdh juang bangsa baik,positif,Bangga terhadap perjuangan Garuda.
"Mengorbankan timnas di laga arab vs timnas demi menjadi rekanan penyuplai minyak mentah untuk SPBU swasta.Good Job pak Erik dan Exco PSSI bisnis kalian akhirnya berkembang pesat.Patrick,Alex pastor,Deni lanzaad kalian hanya kambing hitam dr keserakahan ketua federasi kami demi kelangsungan bisnisnya.😅😅",korban timnas laga arab vs timnas rekan suplai minyak mentah spbu swastagood job erik exco pssi bisnis kembang pesatpatrickalex pastordeni lanzaad kambing hitam serakah ketua federasi langsung bisnis,negatif,"Tuduhan bisnis/korupsi terhadap Erick, Exco PSSI, dan federasi."
"Contoh gampang nya gini deh, kalo proyek di bangun sama kaptennya, tiba² di pertengahan jalan proyeknya batal, berarti yang salah bukan kapten tapi loyer nya sebagai pendanaan",contoh gampang gin kalo proyek bangun kapten tengah jalan proyek batal salah kapten loyer dana,negatif,Analogi yang menyalahkan pihak pendanaan/pengelola proyek.
"Yah memang pahit, tapi yg namanya pertandingan ada menang ada kalah, ada berhasil ada gagal, jadi tegakan kapalmu garuda, terima kasih atas perjuangan kalian",yah pahit nama tanding menang kalah hasil gagal tega kapal garuda terima kasih juang,positif,Apresiasi atas perjuangan meski hasil pahit.
"​ @SAVIERSIGNATURE Indonesia bubar kalau,,,, Jangan di potong kalimatnya bung masih ada kalimat berikutnya.",indonesia bubar potong kalimat kalimat,netral,"Koreksi terhadap kutipan Prabowo, tidak terkait sentimen Timnas secara jelas."
"Ketum pssi beserta jajaranya dan towel cs, ketawa gembira dengan kegagalan timnas menuju pildun 2026😢😢",tum pssi serta jajaranya towel cs ketawa gembira gagal timnas pildun,negatif,Sindiran/kritik terhadap PSSI dan pihak terkait atas kegagalan Timnas.
Nasi goreng sudah menjadi bubur 😂😂,nasi goreng bubur,negatif,Ungkapan kecewa/sarkas karena hasil buruk.
​ @lutupxx .Oh ya brow ada beredar di yutube teekait pernyataan itu,ya brow edar yutube teekait nyata,netral,Memberi informasi bahwa ada pernyataan beredar di YouTube.
"​ @annatarsauron2059 ga pernah nonton bola situ, ini orang yg g bisa terima kenyataan, saya bukan penggemar sty tapi saya mengakui Indonesia bisa sejauh ini berkat sty, yg gagal adalah di piala aff, tp bukannya sebelumnya semua pelatih gagal di piala aff, tp belum ada satupun pelatih yang bisa membawa Indonesia sampai rount 3 selain sty, akui lah itu",nonton bola situ orang terima nyata gemar sty aku indonesia berkat sty gagal piala aff pelatih gagal piala aff satu pelatih bawa indonesia rount sty aku,positif,Mengakui pencapaian Timnas berkat STY.
Usut toh uang rakyat....ET Pecat!,usut uang rakyatet pecat,negatif,Menuntut ET dipecat dan uang rakyat diusut.
"( Patrick gak bisa melatih timnas... Pelatih amatiran... Ancur"" An farah😇😇😇😇😇🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ )",patrick latih timnas pelatih amatir ancur an farah,negatif,Mengkritik Patrick sebagai pelatih amatir.
​ @AzkadinaAndrea boleh juga roy kyoshi,roy kyoshi,netral,"Balasan bercanda, tidak ada sentimen Timnas."
"di tengah ketidakpastian ekonomi, di tengah banyaknya isu negatif yang terjadi di negara ini, sepakbola(TIMNAS)bisa menyatukan atau setidaknya menjadi sedikit pengobat kegelisahan sebagian besar rakyat Indonesia,tapi entah bagaimana para pemangku jabatan/para tokoh utama baik di dalam maupun di luar federasi seolah-olah masih ingin merebut satu2nya hiburan/kebahagian kami sebagian besar pecinta sepak bola khususnya pecinta timnas. Tidak kah kalian sadar,berapa banyak rakyat yang telah kalian dzalimi !! #savetimnas #timnasmilikkitabersama",ketidakpastian ekonomi banyak isu negatif negara sepakbolatimnasbisa satu obat gelisah rakyat indonesiatapi mang jabatanpara tokoh utama federasi seolaholah rebut hiburankebahagian cinta sepak bola cinta timnas kah sadarberapa rakyat dzalimi savetimnas timnasmilikkitabersama,negatif,Berisi kekecewaan terhadap pihak yang dianggap merebut kebahagiaan fans Timnas.
Rindu sty❤❤,rindu sty,positif,"Ungkapan rindu kepada STY, bernada apresiatif/positif."
setuju!,tuju,netral,Kata setuju tanpa konteks yang cukup.
Kalian itu cuma bisa ny ngujat saja tidak bisa merhargai usaha pak erik tohir,ny ngujat merhargai usaha erik tohir,positif,Membela Erick Thohir dari hujatan.
Mana link youtube dia ngomong gitu? Knp buat hoax aja wkwkw,link youtube ngomong gitu hoax wkwkw,netral,Meminta bukti/link dan menyebut isu sebagai hoaks tanpa opini langsung ke Timnas.
"sorry nih ya admin, ga cuma klok dan bechkan jangan lupa yakob ya yang ngasih 2 asist ke pemain arab",sorry ya klok bechkan lupa yakob ya ngasih asist pemain arab,netral,Koreksi/informasi soal pemain yang memberi assist.
Baru kali ini liat bung binder jengkel marah2,kali liat binder jengkel marah,netral,Hanya mengamati Bung Binder sedang marah/jengkel.
​ @rakhatox yg penting berbau korea saya selalu dukung,bau korea dukung,positif,Dukungan terhadap pelatih/figur Korea.
Disclaimer _ STY tuh membangun tim dari minus ya sodaraku bukan dari nol 🤌,disclaimer sty tuh bangun tim minus ya sodaraku nol,positif,Mendukung STY sebagai pembangun tim dari kondisi minus.
Di tubuh PSSI masi ada mafia bola dan di politisasi pengurusnya... Muak dgn ini semuanya.. Timnas lg bgs dan solid sma STY di ganti tnpa alasan jelas.,tubuh pssi mas mafia bola politisasi urus muak timnas lg bgs solid sty ganti tnpa alas,negatif,"Kritik mafia bola, politisasi PSSI, dan pergantian STY."
​@septiansyahwiboworekor Kluivert ditimnas gmna??STY THE BEST BROO,kluivert ditimnas gmnasty the best broo,positif,Dukungan kepada STY dan menilai STY terbaik.
Masuk ronde 4 aja uuh rasanya dh dag dig dug apalagi masuk pildun 2026 .. Tp ya sudahlh. Terima kasih timnas garuda ❤,masuk ronde uuh dh dag dig dug masuk pildun ya sudahlh terima kasih timnas garuda,positif,Ucapan terima kasih kepada Timnas Garuda.
​ @RiaNovisahrya-u8w ni lagi nih. Dibilangin jg kalau masih STY maka ada bbrp pemain abroad yg ga mau join lagi...,ni dibilangin jg sty bbrp pemain abroad join,netral,Pernyataan penjelasan soal pemain abroad jika STY bertahan.
Saya setuju dengan anda. STY lebih baik pembinaannya tampak sekali perlahan tapi pasti karena anak didiknya STY kedekatan,tuju sty bina perlahan anak didik sty dekat,positif,Apresiasi terhadap pembinaan STY.
"Untuk semua pemain...kami Fans Garuda tetap mendukung kalian,jangan berkecil hati, terima kasih telah Berjuang sampai sejauh ini...❤❤ We love you all",pemainkami fans garuda dukung kalianjangan kecil hati terima kasih juang we love you all,positif,Dukungan kepada pemain dan apresiasi perjuangan.
Mangeak,mangeak,netral,"Kata tidak jelas, tidak ada sentimen yang dapat ditentukan."
"Gak apa anda sudah berusaha,kita coba lagi next world cup kita fokus besok di piala asia..kita tau membangun sepakbola butuh waktu..terima kasih sudah berjuang..",berusahakita coba next world cup fokus besok piala asiakita bangun sepakbola butuh waktuterima kasih juang,positif,"Dukungan, terima kasih, dan optimisme ke depan."
​ @acengsuhendi3502 Mali kelas Dunia. Ingat Piala Dunia U17 sebelumnya di Indonesia?,mal kelas dunia piala dunia indonesia,netral,Menyampaikan informasi/perbandingan bahwa Mali kuat tanpa emosi jelas.
"liat italy kurangnya apa pemain berkualitas semua di semua sektor, piala dunia sudah ada tapi 2018 dan 2022 kemaren gak lolos juga",liat italy kurang pemain kualitas sektor piala dunia kemaren lolos,netral,Membahas Italia sebagai perbandingan tanpa emosi jelas ke Timnas.
​ @nano_sensei lebih bro menang+++😅😅,menang,negatif,Sindiran terkait menang/uang.
